Caption	CommandLine	CreationClassName	CreationDate	CSCreationClassName	CSName	Description	ExecutablePath	ExecutionState	Handle	HandleCount	InstallDate	KernelModeTime	MaximumWorkingSetSize	MinimumWorkingSetSize	Name	OSCreationClassName	OSName	OtherOperationCount	OtherTransferCount	PageFaults	PageFileUsage	ParentProcessId	PeakPageFileUsage	PeakVirtualSize	PeakWorkingSetSize	Priority	PrivatePageCount	ProcessId	QuotaNonPagedPoolUsage	QuotaPagedPoolUsage	QuotaPeakNonPagedPoolUsage	QuotaPeakPagedPoolUsage	ReadOperationCount	ReadTransferCount	SessionId	Status	TerminationDate	ThreadCount	UserModeTime	VirtualSize	WindowsVersion	WorkingSetSize	WriteOperationCount	WriteTransferCount																																				
System	Idle	Process	Win32_Process	20201030093133.255248-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	System	Idle	Process	0	0	4.81794E+12	System	Idle	Process	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	0	0	9	60	0	60	8192	12	0	61440	0	1	0	1	0	0	0	0	8	0	8192	10.0.19041	8192	0	0																																			
System	Win32_Process	20201030093133.255248-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	System	4	6289	68689375000	System	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1107951	52749778	670728	196	0	264	34942976	14300	8	200704	4	1	0	1	0	4872	92715061	0	247	0	3989504	10.0.19041	151552	26037	1594810478																																									
Registry	Win32_Process	20201030093128.622372-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	Registry	124	0	132656250	Registry	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2296	4835	321942	12632	4	166308	236273664	229264	8	12935168	124	22	300	29	455	595	9916416	0	4	0	154718208	10.0.19041	48050176	25697	590282752																																									
smss.exe	Win32_Process	20201030093133.260062-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	smss.exe	520	53	2656250	smss.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	462	9398	1016	1060	4	1124	2.20337E+12	1292	11	1085440	520	4	13	9	24	22	16804	0	2	0	2.20336E+12	10.0.19041	1122304	22	27100																																									
csrss.exe	Win32_Process	20201030093143.976208-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	csrss.exe	824	884	41093750	csrss.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	31450	1554816	11428	1968	604	2284	2.20342E+12	5760	13	2015232	824	28	294	33	330	646	501983	0	12	12343750	2.20342E+12	10.0.19041	4964352	0	0																																									
wininit.exe	Win32_Process	20201030093144.228811-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	wininit.exe	916	163	156250	wininit.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	210	2858	2662	1392	604	1932	2.2034E+12	7164	13	1425408	916	11	76	14	88	2	9732	0	1	156250	2.20339E+12	10.0.19041	4448256	0	0																																									
csrss.exe	Win32_Process	20201030093144.232543-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	csrss.exe	924	1151	2387968750	csrss.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	97148	2509455	5066215	3028	908	3804	2.20351E+12	19744	13	3100672	924	42	462	50	510	224512	5977151	1	14	41718750	2.2035E+12	10.0.19041	6590464	0	0																																									
services.exe	Win32_Process	20201030093144.292573-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	services.exe	1012	889	1189531250	services.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	15660	312124	177458	6532	916	8156	2.20341E+12	11312	9	6688768	1012	12	181	19	196	78	479348	0	8	1487187500	2.20339E+12	10.0.19041	8343552	32	11092																																									
winlogon.exe	Win32_Process	20201030093144.293288-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	winlogon.exe	1020	275	15937500	winlogon.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	554	248958	78081	2760	908	3756	2.20343E+12	20624	13	2826240	1020	13	146	15	165	3	250704	1	3	3593750	2.20342E+12	10.0.19041	7692288	1	160																																									
lsass.exe	Win32_Process	20201030093144.311445-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	lsass.exe	556	2011	752500000	lsass.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	93129	17582725	142844	10936	916	11508	2.20344E+12	23968	9	11198464	556	37	193	40	201	12206	5699605	0	9	924531250	2.20343E+12	10.0.19041	21307392	3733	1782205																																									
svchost.exe	Win32_Process	20201030093144.465842-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1108	54	156250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	7	62	1677	860	1012	964	2.20337E+12	3460	8	880640	1108	5	30	5	30	0	0	0	2	0	2.20337E+12	10.0.19041	2641920	0	0																																									
fontdrvhost.exe	Win32_Process	20201030093144.472354-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	fontdrvhost.exe	1136	39	781250	fontdrvhost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	37	972	1750	1708	916	1772	2.20339E+12	4028	8	1748992	1136	6	41	7	41	0	0	0	5	312500	2.20339E+12	10.0.19041	2932736	0	0																																									
fontdrvhost.exe	Win32_Process	20201030093144.472355-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	fontdrvhost.exe	1140	39	56250000	fontdrvhost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	5742	144580	27520	6280	1020	10620	2.20366E+12	17028	8	6430720	1140	10	253	25	531	0	0	1	5	39218750	2.20352E+12	10.0.19041	10178560	0	0																																									
svchost.exe	Win32_Process	20201030093144.474229-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1152	1359	1081093750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	500789	32106434	600749	18828	1012	23532	2.20353E+12	37680	8	19279872	1152	25	809	37	823	1432	69184596	0	16	620000000	2.2035E+12	10.0.19041	34238464	76	1110016																																									
WUDFHost.exe	Win32_Process	20201030093144.494702-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WUDFHost.exe	1228	287	1406250	WUDFHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2414	317740	7138	2376	1012	2592	2.2034E+12	9664	8	2433024	1228	12	97	14	103	1	58	0	8	2968750	2.2034E+12	10.0.19041	6647808	0	0																																									
