
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        100 K
Secure System                   56 Services                   0     30,372 K
Registry                       108 Services                   0     32,752 K
smss.exe                       392 Services                   0        980 K
csrss.exe                      680 Services                   0      3,640 K
wininit.exe                    792 Services                   0      2,948 K
services.exe                   864 Services                   0      6,616 K
LsaIso.exe                     876 Services                   0      1,364 K
lsass.exe                      892 Services                   0     11,376 K
svchost.exe                     76 Services                   0     21,012 K
WUDFHost.exe                   568 Services                   0      7,088 K
fontdrvhost.exe                620 Services                   0      1,136 K
svchost.exe                   1084 Services                   0     12,884 K
svchost.exe                   1184 Services                   0      4,816 K
svchost.exe                   1404 Services                   0      3,192 K
svchost.exe                   1412 Services                   0      2,064 K
svchost.exe                   1440 Services                   0      4,696 K
svchost.exe                   1456 Services                   0      6,564 K
svchost.exe                   1532 Services                   0      6,244 K
svchost.exe                   1556 Services                   0      5,244 K
svchost.exe                   1700 Services                   0      8,748 K
IntelCpHDCPSvc.exe            1712 Services                   0      2,440 K
svchost.exe                   1720 Services                   0      4,972 K
svchost.exe                   1784 Services                   0      3,256 K
svchost.exe                   1804 Services                   0      6,304 K
svchost.exe                   1932 Services                   0     10,056 K
svchost.exe                   1956 Services                   0      2,572 K
svchost.exe                   2040 Services                   0     12,160 K
IntelCpHeciSvc.exe            1116 Services                   0      2,656 K
svchost.exe                   2092 Services                   0      3,852 K
svchost.exe                   2224 Services                   0      4,116 K
svchost.exe                   2292 Services                   0      2,604 K
svchost.exe                   2312 Services                   0      4,760 K
atiesrxx.exe                  2368 Services                   0      2,444 K
svchost.exe                   2384 Services                   0      4,688 K
amdlogsr.exe                  2392 Services                   0      2,276 K
svchost.exe                   2496 Services                   0      7,096 K
svchost.exe                   2504 Services                   0      7,484 K
svchost.exe                   2536 Services                   0     12,916 K
svchost.exe                   2676 Services                   0      6,656 K
svchost.exe                   2784 Services                   0      4,212 K
svchost.exe                   2808 Services                   0      5,320 K
svchost.exe                   2860 Services                   0      5,784 K
svchost.exe                   2960 Services                   0      2,780 K
wsc_proxy.exe                 3020 Services                   0      9,104 K
svchost.exe                   3036 Services                   0      4,404 K
svchost.exe                   3048 Services                   0      6,868 K
svchost.exe                   3064 Services                   0      2,472 K
Memory Compression            3120 Services                   0    675,352 K
svchost.exe                   3164 Services                   0      8,100 K
svchost.exe                   3172 Services                   0      6,808 K
igfxCUIService.exe            3212 Services                   0      4,368 K
svchost.exe                   3316 Services                   0      4,880 K
svchost.exe                   3324 Services                   0      4,012 K
svchost.exe                   3468 Services                   0      4,612 K
svchost.exe                   3496 Services                   0      8,536 K
RtkAudioService64.exe         3696 Services                   0      3,412 K
svchost.exe                   3752 Services                   0     11,056 K
svchost.exe                   3760 Services                   0     13,292 K
svchost.exe                   3884 Services                   0      6,092 K
svchost.exe                   3936 Services                   0      3,476 K
svchost.exe                   3944 Services                   0      5,476 K
svchost.exe                   3808 Services                   0     11,152 K
svchost.exe                   4116 Services                   0      5,248 K
AvastSvc.exe                  4208 Services                   0    213,116 K
svchost.exe                   4224 Services                   0      8,320 K
svchost.exe                   4736 Services                   0      5,888 K
aswToolsSvc.exe               4752 Services                   0     77,732 K
spoolsv.exe                   4920 Services                   0      4,872 K
svchost.exe                   5000 Services                   0      3,380 K
svchost.exe                   5008 Services                   0      3,860 K
armsvc.exe                    5072 Services                   0      1,576 K
AnyDesk.exe                   5080 Services                   0      6,008 K
svchost.exe                   2572 Services                   0     34,156 K
svchost.exe                   4148 Services                   0      9,260 K
svchost.exe                    560 Services                   0     22,600 K
OneApp.IGCC.WinService.ex     2320 Services                   0      7,360 K
OfficeClickToRun.exe          5156 Services                   0     28,300 K
ibtsiva.exe                   5164 Services                   0      2,524 K
esif_uf.exe                   5172 Services                   0      2,820 K
svchost.exe                   5188 Services                   0      2,240 K
svchost.exe                   5196 Services                   0      5,224 K
jhi_service.exe               5216 Services                   0      1,876 K
svchost.exe                   5236 Services                   0      2,404 K
svchost.exe                   5300 Services                   0     13,504 K
