
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         24 K
Registry                        96 Services                   0     13,588 K
smss.exe                       432 Services                   0        200 K
csrss.exe                      736 Services                   0      1,888 K
wininit.exe                    824 Services                   0         12 K
services.exe                   904 Services                   0      5,424 K
lsass.exe                      924 Services                   0     15,600 K
svchost.exe                    212 Services                   0        260 K
svchost.exe                    400 Services                   0     18,552 K
fontdrvhost.exe                464 Services                   0        224 K
WUDFHost.exe                   484 Services                   0      3,088 K
svchost.exe                    532 Services                   0     13,316 K
WUDFHost.exe                   944 Services                   0         68 K
svchost.exe                   1040 Services                   0      2,880 K
svchost.exe                   1392 Services                   0      6,264 K
svchost.exe                   1400 Services                   0      2,960 K
svchost.exe                   1512 Services                   0      2,192 K
svchost.exe                   1572 Services                   0      4,292 K
svchost.exe                   1660 Services                   0      3,632 K
svchost.exe                   1748 Services                   0      1,548 K
svchost.exe                   1796 Services                   0      7,864 K
svchost.exe                   1916 Services                   0      4,840 K
svchost.exe                   1964 Services                   0      1,400 K
svchost.exe                   1992 Services                   0      5,060 K
svchost.exe                   2012 Services                   0     10,536 K
svchost.exe                   2020 Services                   0      1,448 K
svchost.exe                   1256 Services                   0      9,644 K
svchost.exe                   2096 Services                   0      1,060 K
igfxCUIService.exe            2104 Services                   0        780 K
svchost.exe                   2132 Services                   0      6,968 K
svchost.exe                   2180 Services                   0      3,380 K
Memory Compression            2192 Services                   0    377,668 K
svchost.exe                   2204 Services                   0      2,336 K
svchost.exe                   2288 Services                   0      3,916 K
svchost.exe                   2308 Services                   0      1,840 K
svchost.exe                   2336 Services                   0      4,952 K
svchost.exe                   2488 Services                   0      3,596 K
dasHost.exe                   2564 Services                   0      8,220 K
svchost.exe                   2620 Services                   0      7,016 K
svchost.exe                   2636 Services                   0      2,248 K
svchost.exe                   2728 Services                   0      7,532 K
svchost.exe                   2812 Services                   0      1,584 K
svchost.exe                   2832 Services                   0      5,152 K
svchost.exe                   2856 Services                   0      4,872 K
svchost.exe                   2864 Services                   0      2,364 K
svchost.exe                   2956 Services                   0     13,512 K
svchost.exe                   2988 Services                   0      5,040 K
svchost.exe                   1844 Services                   0      3,732 K
svchost.exe                   3120 Services                   0      7,444 K
svchost.exe                   3196 Services                   0      3,476 K
svchost.exe                   3260 Services                   0      2,812 K
wlanext.exe                   3276 Services                   0      2,076 K
spoolsv.exe                   3320 Services                   0      3,756 K
conhost.exe                   3496 Services                   0         32 K
svchost.exe                   3608 Services                   0      2,572 K
PresentationFontCache.exe     4000 Services                   0        764 K
mDNSResponder.exe             4284 Services                   0      3,048 K
BTDevMgr.exe                  4292 Services                   0        752 K
svchost.exe                   4300 Services                   0        888 K
IntelCpHDCPSvc.exe            4308 Services                   0        960 K
svchost.exe                   4320 Services                   0     19,908 K
DSAService.exe                4332 Services                   0     16,372 K
svchost.exe                   4340 Services                   0      9,264 K
esif_uf.exe                   4348 Services                   0        360 K
svchost.exe                   4372 Services                   0     27,896 K
FNPLicensingService64.exe     4392 Services                   0      1,148 K
g2svc.exe                     4448 Services                   0        784 K
svchost.exe                   4464 Services                   0     10,944 K
svchost.exe                   4472 Services                   0      1,664 K
ModuleCoreService.exe         4524 Services                   0     42,508 K
mfemms.exe                    4532 Services                   0      1,820 K
svchost.exe                   4680 Services                   0      3,236 K
mysqld.exe                    4692 Services                   0     11,960 K
novapdfs.exe                  4776 Services                   0        420 K
RstMwService.exe              4784 Services                   0         20 K
PEFService.exe                4812 Services                   0      1,176 K
RtkAudUService64.exe          4836 Services                   0      2,912 K
svchost.exe                   4844 Services                   0        564 K
svchost.exe                   4920 Services                   0      1,216 K
svchost.exe                   4928 Services                   0      8,608 K
svchost.exe                   4936 Services                   0      1,368 K
svchost.exe                   4996 Services                   0      7,560 K
RtkBtAudioServ.exe            5048 Services                   0        344 K
SupremoService.exe            5060 Services                   0      2,364 K
RtkBtManServ.exe              5072 Services                   0      1,564 K
SECOMN64.exe                  5096 Services                   0      3,264 K
SecurityHealthService.exe     5108 Services                   0      2,968 K
