
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         84 K
Registry                        96 Services                   0     21,044 K
smss.exe                       436 Services                   0        740 K
csrss.exe                      736 Services                   0      3,628 K
wininit.exe                    828 Services                   0      3,528 K
services.exe                   904 Services                   0      7,144 K
lsass.exe                      952 Services                   0     16,232 K
svchost.exe                    404 Services                   0      2,100 K
svchost.exe                    468 Services                   0     25,840 K
fontdrvhost.exe                504 Services                   0      1,724 K
WUDFHost.exe                   644 Services                   0      6,060 K
svchost.exe                    976 Services                   0     17,364 K
WUDFHost.exe                  1052 Services                   0      2,692 K
svchost.exe                   1136 Services                   0      6,140 K
svchost.exe                   1428 Services                   0      6,844 K
svchost.exe                   1436 Services                   0      8,372 K
svchost.exe                   1516 Services                   0      6,504 K
svchost.exe                   1588 Services                   0      8,320 K
svchost.exe                   1668 Services                   0      5,864 K
svchost.exe                   1728 Services                   0     12,592 K
svchost.exe                   1828 Services                   0      5,188 K
svchost.exe                   1840 Services                   0     10,940 K
svchost.exe                   1848 Services                   0      5,520 K
svchost.exe                   1864 Services                   0      4,272 K
svchost.exe                   1924 Services                   0      3,944 K
svchost.exe                   1932 Services                   0      8,032 K
svchost.exe                   1956 Services                   0      5,032 K
igfxCUIService.exe            1040 Services                   0      4,380 K
svchost.exe                   2004 Services                   0      5,616 K
svchost.exe                   2060 Services                   0      7,980 K
svchost.exe                   2100 Services                   0      3,528 K
svchost.exe                   2108 Services                   0      9,432 K
svchost.exe                   2264 Services                   0      7,668 K
svchost.exe                   2272 Services                   0      5,288 K
svchost.exe                   2296 Services                   0     13,596 K
svchost.exe                   2304 Services                   0      5,468 K
Memory Compression            2332 Services                   0    731,416 K
dasHost.exe                   2352 Services                   0      9,172 K
svchost.exe                   2368 Services                   0      5,464 K
svchost.exe                   2492 Services                   0      9,876 K
svchost.exe                   2596 Services                   0      5,472 K
svchost.exe                   2704 Services                   0      7,568 K
svchost.exe                   2784 Services                   0     49,224 K
svchost.exe                   2880 Services                   0      8,608 K
svchost.exe                   2888 Services                   0      6,876 K
svchost.exe                   2900 Services                   0      4,244 K
svchost.exe                   2980 Services                   0     14,228 K
svchost.exe                   1972 Services                   0      5,400 K
svchost.exe                   3084 Services                   0     11,128 K
svchost.exe                   3116 Services                   0      5,932 K
svchost.exe                   3236 Services                   0      9,036 K
spoolsv.exe                   3312 Services                   0      8,348 K
wlanext.exe                   3492 Services                   0      4,360 K
svchost.exe                   3524 Services                   0      5,128 K
conhost.exe                   3620 Services                   0      2,684 K
DSAService.exe                4060 Services                   0     24,208 K
mDNSResponder.exe             4068 Services                   0      4,600 K
FNPLicensingService64.exe     4076 Services                   0      4,620 K
BTDevMgr.exe                  4084 Services                   0      3,704 K
svchost.exe                    732 Services                   0     25,700 K
svchost.exe                   3376 Services                   0      3,864 K
svchost.exe                   3556 Services                   0     29,052 K
svchost.exe                   3640 Services                   0     10,440 K
g2svc.exe                     3464 Services                   0      4,568 K
esif_uf.exe                   4144 Services                   0      3,236 K
IntelCpHDCPSvc.exe            4160 Services                   0      3,668 K
svchost.exe                   4296 Services                   0     13,860 K
svchost.exe                   4368 Services                   0      3,692 K
svchost.exe                   4376 Services                   0      4,256 K
RtkAudUService64.exe          4420 Services                   0      5,892 K
svchost.exe                   4512 Services                   0      3,136 K
svchost.exe                   4528 Services                   0      4,156 K
ModuleCoreService.exe         4536 Services                   0     43,736 K
SupremoService.exe            4560 Services                   0      5,948 K
novapdfs.exe                  4568 Services                   0     10,980 K
RtkBtManServ.exe              4588 Services                   0      3,812 K
SurSvc.exe                    4608 Services                   0     28,080 K
sqlwriter.exe                 4616 Services                   0      3,952 K
RstMwService.exe              4624 Services                   0      3,388 K
RtkBtAudioServ.exe            4636 Services                   0      3,028 K
PEFService.exe                4644 Services                   0      1,232 K
PresentationFontCache.exe     4652 Services                   0      5,868 K
SynTPEnhService.exe           4680 Services                   0      4,280 K
SECOMN64.exe                  4708 Services                   0      7,084 K
SecurityHealthService.exe     4748 Services                   0      9,012 K
