
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         72 K
Registry                        96 Services                   0     15,084 K
smss.exe                       436 Services                   0        316 K
csrss.exe                      736 Services                   0      3,296 K
wininit.exe                    828 Services                   0      1,668 K
services.exe                   904 Services                   0      5,640 K
lsass.exe                      952 Services                   0     22,728 K
svchost.exe                    404 Services                   0        904 K
svchost.exe                    468 Services                   0     20,104 K
fontdrvhost.exe                504 Services                   0        744 K
WUDFHost.exe                   644 Services                   0      5,208 K
svchost.exe                    976 Services                   0     13,220 K
WUDFHost.exe                  1052 Services                   0      1,184 K
svchost.exe                   1136 Services                   0      3,848 K
svchost.exe                   1428 Services                   0      3,532 K
svchost.exe                   1436 Services                   0      3,252 K
svchost.exe                   1516 Services                   0      2,860 K
svchost.exe                   1588 Services                   0      6,984 K
svchost.exe                   1668 Services                   0      4,236 K
svchost.exe                   1728 Services                   0     10,832 K
svchost.exe                   1828 Services                   0      4,156 K
svchost.exe                   1840 Services                   0      9,368 K
svchost.exe                   1848 Services                   0      5,032 K
svchost.exe                   1864 Services                   0      3,676 K
svchost.exe                   1924 Services                   0      3,484 K
svchost.exe                   1932 Services                   0      6,096 K
svchost.exe                   1956 Services                   0      5,172 K
igfxCUIService.exe            1040 Services                   0      3,904 K
svchost.exe                   2004 Services                   0      4,900 K
svchost.exe                   2060 Services                   0      7,332 K
svchost.exe                   2100 Services                   0      3,104 K
svchost.exe                   2108 Services                   0      2,424 K
svchost.exe                   2264 Services                   0      7,024 K
svchost.exe                   2272 Services                   0      4,852 K
svchost.exe                   2296 Services                   0     11,028 K
svchost.exe                   2304 Services                   0      4,664 K
Memory Compression            2332 Services                   0    358,720 K
dasHost.exe                   2352 Services                   0      7,968 K
svchost.exe                   2368 Services                   0      5,240 K
svchost.exe                   2492 Services                   0      8,992 K
svchost.exe                   2596 Services                   0      4,992 K
svchost.exe                   2704 Services                   0      7,024 K
svchost.exe                   2784 Services                   0      7,660 K
svchost.exe                   2880 Services                   0      6,860 K
svchost.exe                   2888 Services                   0      6,976 K
svchost.exe                   2900 Services                   0      3,816 K
svchost.exe                   2980 Services                   0     11,564 K
svchost.exe                   1972 Services                   0      5,284 K
svchost.exe                   3084 Services                   0      9,860 K
svchost.exe                   3116 Services                   0      4,760 K
svchost.exe                   3236 Services                   0      7,924 K
spoolsv.exe                   3312 Services                   0      6,120 K
wlanext.exe                   3492 Services                   0      3,932 K
svchost.exe                   3524 Services                   0      4,728 K
conhost.exe                   3620 Services                   0      2,292 K
DSAService.exe                4060 Services                   0     18,092 K
mDNSResponder.exe             4068 Services                   0      3,552 K
FNPLicensingService64.exe     4076 Services                   0      4,188 K
BTDevMgr.exe                  4084 Services                   0      3,292 K
svchost.exe                    732 Services                   0     22,020 K
svchost.exe                   3376 Services                   0      3,496 K
svchost.exe                   3556 Services                   0     16,860 K
svchost.exe                   3640 Services                   0     10,468 K
g2svc.exe                     3464 Services                   0      4,268 K
esif_uf.exe                   4144 Services                   0      2,876 K
IntelCpHDCPSvc.exe            4160 Services                   0      3,252 K
svchost.exe                   4296 Services                   0     12,184 K
svchost.exe                   4368 Services                   0      2,988 K
svchost.exe                   4376 Services                   0      3,496 K
RtkAudUService64.exe          4420 Services                   0      5,272 K
svchost.exe                   4512 Services                   0      2,720 K
svchost.exe                   4528 Services                   0      3,660 K
ModuleCoreService.exe         4536 Services                   0     11,192 K
SupremoService.exe            4560 Services                   0      5,640 K
novapdfs.exe                  4568 Services                   0     12,516 K
RtkBtManServ.exe              4588 Services                   0      3,424 K
SurSvc.exe                    4608 Services                   0     14,708 K
sqlwriter.exe                 4616 Services                   0      3,508 K
RstMwService.exe              4624 Services                   0      3,044 K
RtkBtAudioServ.exe            4636 Services                   0      2,660 K
PEFService.exe                4644 Services                   0        556 K
PresentationFontCache.exe     4652 Services                   0      5,964 K
SynTPEnhService.exe           4680 Services                   0      3,844 K
SECOMN64.exe                  4708 Services                   0      6,368 K
SecurityHealthService.exe     4748 Services                   0      7,684 K
