
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         84 K
Registry                        96 Services                   0     12,468 K
smss.exe                       436 Services                   0        748 K
csrss.exe                      736 Services                   0      3,832 K
wininit.exe                    828 Services                   0      3,704 K
services.exe                   904 Services                   0      7,200 K
lsass.exe                      952 Services                   0     16,736 K
svchost.exe                    404 Services                   0      2,164 K
svchost.exe                    468 Services                   0     26,736 K
fontdrvhost.exe                504 Services                   0      1,880 K
WUDFHost.exe                   644 Services                   0      6,544 K
svchost.exe                    976 Services                   0     16,124 K
WUDFHost.exe                  1052 Services                   0      2,892 K
svchost.exe                   1136 Services                   0      6,260 K
svchost.exe                   1428 Services                   0      7,184 K
svchost.exe                   1436 Services                   0      8,504 K
svchost.exe                   1516 Services                   0      7,040 K
svchost.exe                   1588 Services                   0      8,604 K
svchost.exe                   1668 Services                   0      4,988 K
svchost.exe                   1728 Services                   0     12,672 K
svchost.exe                   1828 Services                   0      5,380 K
svchost.exe                   1840 Services                   0     11,804 K
svchost.exe                   1848 Services                   0      6,120 K
svchost.exe                   1864 Services                   0      4,512 K
svchost.exe                   1924 Services                   0      4,196 K
svchost.exe                   1932 Services                   0      8,176 K
svchost.exe                   1956 Services                   0      5,864 K
igfxCUIService.exe            1040 Services                   0      4,664 K
svchost.exe                   2004 Services                   0      5,772 K
svchost.exe                   2060 Services                   0      8,440 K
svchost.exe                   2100 Services                   0      3,548 K
svchost.exe                   2108 Services                   0      9,664 K
svchost.exe                   2264 Services                   0      7,864 K
svchost.exe                   2272 Services                   0      5,572 K
svchost.exe                   2296 Services                   0     14,160 K
svchost.exe                   2304 Services                   0      5,772 K
Memory Compression            2332 Services                   0    626,280 K
dasHost.exe                   2352 Services                   0     10,888 K
svchost.exe                   2368 Services                   0      5,892 K
svchost.exe                   2492 Services                   0     10,428 K
svchost.exe                   2596 Services                   0      5,784 K
svchost.exe                   2704 Services                   0      7,704 K
svchost.exe                   2784 Services                   0     12,896 K
svchost.exe                   2880 Services                   0      9,000 K
svchost.exe                   2888 Services                   0      6,676 K
svchost.exe                   2900 Services                   0      4,400 K
svchost.exe                   2980 Services                   0     14,368 K
svchost.exe                   1972 Services                   0      5,652 K
svchost.exe                   3084 Services                   0     11,460 K
svchost.exe                   3116 Services                   0      6,184 K
svchost.exe                   3236 Services                   0      9,416 K
spoolsv.exe                   3312 Services                   0      7,480 K
wlanext.exe                   3492 Services                   0      4,580 K
svchost.exe                   3524 Services                   0      5,280 K
conhost.exe                   3620 Services                   0      2,848 K
DSAService.exe                4060 Services                   0     24,504 K
mDNSResponder.exe             4068 Services                   0      4,872 K
FNPLicensingService64.exe     4076 Services                   0      4,752 K
BTDevMgr.exe                  4084 Services                   0      3,948 K
svchost.exe                    732 Services                   0     26,364 K
svchost.exe                   3376 Services                   0      4,084 K
svchost.exe                   3556 Services                   0     39,980 K
svchost.exe                   3640 Services                   0     11,884 K
g2svc.exe                     3464 Services                   0      4,752 K
esif_uf.exe                   4144 Services                   0      3,436 K
IntelCpHDCPSvc.exe            4160 Services                   0      3,868 K
svchost.exe                   4296 Services                   0     13,632 K
svchost.exe                   4368 Services                   0      3,796 K
svchost.exe                   4376 Services                   0      4,480 K
RtkAudUService64.exe          4420 Services                   0      6,272 K
svchost.exe                   4512 Services                   0      3,256 K
svchost.exe                   4528 Services                   0      4,624 K
ModuleCoreService.exe         4536 Services                   0     46,492 K
SupremoService.exe            4560 Services                   0      6,088 K
novapdfs.exe                  4568 Services                   0     11,500 K
RtkBtManServ.exe              4588 Services                   0      4,416 K
SurSvc.exe                    4608 Services                   0     31,244 K
sqlwriter.exe                 4616 Services                   0      4,268 K
RstMwService.exe              4624 Services                   0      3,592 K
RtkBtAudioServ.exe            4636 Services                   0      3,224 K
PEFService.exe                4644 Services                   0      2,276 K
PresentationFontCache.exe     4652 Services                   0      6,196 K
SynTPEnhService.exe           4680 Services                   0      4,508 K
SECOMN64.exe                  4708 Services                   0      6,780 K
SecurityHealthService.exe     4748 Services                   0      9,820 K
