
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         56 K
Registry                        96 Services                   0      8,024 K
smss.exe                       436 Services                   0        596 K
csrss.exe                      736 Services                   0      3,572 K
wininit.exe                    828 Services                   0      2,736 K
services.exe                   904 Services                   0      6,728 K
lsass.exe                      952 Services                   0     17,228 K
svchost.exe                    404 Services                   0      1,056 K
svchost.exe                    468 Services                   0     25,072 K
fontdrvhost.exe                504 Services                   0      1,048 K
WUDFHost.exe                   644 Services                   0      5,176 K
svchost.exe                    976 Services                   0     15,056 K
WUDFHost.exe                  1052 Services                   0      2,128 K
svchost.exe                   1136 Services                   0      5,448 K
svchost.exe                   1428 Services                   0      5,736 K
svchost.exe                   1436 Services                   0      4,264 K
svchost.exe                   1516 Services                   0      4,876 K
svchost.exe                   1588 Services                   0      7,716 K
svchost.exe                   1668 Services                   0      5,212 K
svchost.exe                   1728 Services                   0     12,708 K
svchost.exe                   1828 Services                   0      4,624 K
svchost.exe                   1840 Services                   0     11,560 K
svchost.exe                   1848 Services                   0      6,064 K
svchost.exe                   1864 Services                   0      4,316 K
svchost.exe                   1924 Services                   0      3,744 K
svchost.exe                   1932 Services                   0      7,060 K
svchost.exe                   1956 Services                   0      5,604 K
igfxCUIService.exe            1040 Services                   0      4,300 K
svchost.exe                   2004 Services                   0      5,348 K
svchost.exe                   2060 Services                   0      7,936 K
svchost.exe                   2100 Services                   0      3,228 K
svchost.exe                   2108 Services                   0      6,412 K
svchost.exe                   2264 Services                   0      7,664 K
svchost.exe                   2272 Services                   0      5,136 K
svchost.exe                   2296 Services                   0     13,740 K
svchost.exe                   2304 Services                   0      7,000 K
Memory Compression            2332 Services                   0    423,200 K
dasHost.exe                   2352 Services                   0      9,556 K
svchost.exe                   2368 Services                   0      5,120 K
svchost.exe                   2492 Services                   0     10,448 K
svchost.exe                   2596 Services                   0      5,388 K
svchost.exe                   2704 Services                   0      7,484 K
svchost.exe                   2784 Services                   0     45,708 K
svchost.exe                   2880 Services                   0      8,384 K
svchost.exe                   2888 Services                   0      6,664 K
svchost.exe                   2900 Services                   0      4,072 K
svchost.exe                   2980 Services                   0     13,296 K
svchost.exe                   1972 Services                   0      5,240 K
svchost.exe                   3084 Services                   0     11,428 K
svchost.exe                   3116 Services                   0      5,880 K
svchost.exe                   3236 Services                   0      9,092 K
spoolsv.exe                   3312 Services                   0      6,784 K
wlanext.exe                   3492 Services                   0      4,252 K
svchost.exe                   3524 Services                   0      4,828 K
conhost.exe                   3620 Services                   0      2,292 K
DSAService.exe                4060 Services                   0     19,224 K
mDNSResponder.exe             4068 Services                   0      4,544 K
FNPLicensingService64.exe     4076 Services                   0      4,168 K
BTDevMgr.exe                  4084 Services                   0      3,536 K
svchost.exe                    732 Services                   0     22,924 K
svchost.exe                   3376 Services                   0      3,852 K
svchost.exe                   3556 Services                   0     27,696 K
svchost.exe                   3640 Services                   0     11,172 K
g2svc.exe                     3464 Services                   0      4,552 K
esif_uf.exe                   4144 Services                   0      3,264 K
IntelCpHDCPSvc.exe            4160 Services                   0      3,596 K
svchost.exe                   4296 Services                   0     14,868 K
svchost.exe                   4368 Services                   0      2,916 K
svchost.exe                   4376 Services                   0      3,708 K
RtkAudUService64.exe          4420 Services                   0      5,520 K
svchost.exe                   4512 Services                   0      2,884 K
svchost.exe                   4528 Services                   0      4,008 K
ModuleCoreService.exe         4536 Services                   0     34,140 K
SupremoService.exe            4560 Services                   0      5,696 K
novapdfs.exe                  4568 Services                   0      9,376 K
RtkBtManServ.exe              4588 Services                   0      3,648 K
SurSvc.exe                    4608 Services                   0     32,376 K
sqlwriter.exe                 4616 Services                   0      3,700 K
RstMwService.exe              4624 Services                   0      3,328 K
RtkBtAudioServ.exe            4636 Services                   0      2,724 K
PEFService.exe                4644 Services                   0        984 K
PresentationFontCache.exe     4652 Services                   0      5,268 K
SynTPEnhService.exe           4680 Services                   0      4,288 K
SECOMN64.exe                  4708 Services                   0      6,828 K
SecurityHealthService.exe     4748 Services                   0     10,948 K
