
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         84 K
Registry                        96 Services                   0     11,796 K
smss.exe                       436 Services                   0        812 K
csrss.exe                      736 Services                   0      3,976 K
wininit.exe                    828 Services                   0      4,504 K
services.exe                   904 Services                   0      7,644 K
lsass.exe                      952 Services                   0     17,600 K
svchost.exe                    404 Services                   0      2,272 K
svchost.exe                    468 Services                   0     26,892 K
fontdrvhost.exe                504 Services                   0      2,428 K
WUDFHost.exe                   644 Services                   0      7,704 K
svchost.exe                    976 Services                   0     16,100 K
WUDFHost.exe                  1052 Services                   0      3,436 K
svchost.exe                   1136 Services                   0      6,936 K
svchost.exe                   1428 Services                   0      7,436 K
svchost.exe                   1436 Services                   0      7,968 K
svchost.exe                   1516 Services                   0      6,924 K
svchost.exe                   1588 Services                   0      8,756 K
svchost.exe                   1668 Services                   0      6,036 K
svchost.exe                   1728 Services                   0     15,824 K
svchost.exe                   1828 Services                   0      5,480 K
svchost.exe                   1840 Services                   0     12,108 K
svchost.exe                   1848 Services                   0      6,724 K
svchost.exe                   1864 Services                   0      5,148 K
svchost.exe                   1924 Services                   0      4,580 K
svchost.exe                   1932 Services                   0      8,156 K
svchost.exe                   1956 Services                   0      7,696 K
igfxCUIService.exe            1040 Services                   0      5,436 K
svchost.exe                   2004 Services                   0      5,900 K
svchost.exe                   2060 Services                   0      6,792 K
svchost.exe                   2100 Services                   0      3,732 K
svchost.exe                   2108 Services                   0      9,708 K
svchost.exe                   2264 Services                   0      8,032 K
svchost.exe                   2272 Services                   0      5,588 K
svchost.exe                   2296 Services                   0     14,344 K
svchost.exe                   2304 Services                   0      5,480 K
Memory Compression            2332 Services                   0    363,036 K
dasHost.exe                   2352 Services                   0     11,472 K
svchost.exe                   2368 Services                   0      5,792 K
svchost.exe                   2492 Services                   0     10,392 K
svchost.exe                   2596 Services                   0      6,480 K
svchost.exe                   2704 Services                   0      7,804 K
svchost.exe                   2784 Services                   0     44,560 K
svchost.exe                   2880 Services                   0      9,244 K
svchost.exe                   2888 Services                   0      7,236 K
svchost.exe                   2900 Services                   0      4,472 K
svchost.exe                   2980 Services                   0     11,848 K
svchost.exe                   1972 Services                   0      5,844 K
svchost.exe                   3084 Services                   0     11,776 K
svchost.exe                   3116 Services                   0      6,692 K
svchost.exe                   3236 Services                   0     10,128 K
spoolsv.exe                   3312 Services                   0      8,740 K
wlanext.exe                   3492 Services                   0      5,116 K
svchost.exe                   3524 Services                   0      5,560 K
conhost.exe                   3620 Services                   0      3,384 K
DSAService.exe                4060 Services                   0     24,984 K
mDNSResponder.exe             4068 Services                   0      5,056 K
FNPLicensingService64.exe     4076 Services                   0      5,140 K
BTDevMgr.exe                  4084 Services                   0      4,440 K
svchost.exe                    732 Services                   0     27,108 K
svchost.exe                   3376 Services                   0      4,632 K
svchost.exe                   3556 Services                   0     24,812 K
svchost.exe                   3640 Services                   0     11,608 K
g2svc.exe                     3464 Services                   0      5,704 K
esif_uf.exe                   4144 Services                   0      4,000 K
IntelCpHDCPSvc.exe            4160 Services                   0      4,400 K
svchost.exe                   4296 Services                   0     15,080 K
svchost.exe                   4368 Services                   0      3,940 K
svchost.exe                   4376 Services                   0      4,660 K
RtkAudUService64.exe          4420 Services                   0      6,116 K
svchost.exe                   4512 Services                   0      3,580 K
svchost.exe                   4528 Services                   0      5,016 K
ModuleCoreService.exe         4536 Services                   0     37,140 K
SupremoService.exe            4560 Services                   0      6,712 K
novapdfs.exe                  4568 Services                   0     15,280 K
RtkBtManServ.exe              4588 Services                   0      4,564 K
SurSvc.exe                    4608 Services                   0     46,988 K
sqlwriter.exe                 4616 Services                   0      4,820 K
RstMwService.exe              4624 Services                   0      4,136 K
RtkBtAudioServ.exe            4636 Services                   0      3,764 K
PEFService.exe                4644 Services                   0      1,540 K
PresentationFontCache.exe     4652 Services                   0      7,264 K
SynTPEnhService.exe           4680 Services                   0      5,272 K
SECOMN64.exe                  4708 Services                   0      7,068 K
SecurityHealthService.exe     4748 Services                   0     11,488 K
