
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,852 K
Registry                       124 Services                   0     51,752 K
smss.exe                       528 Services                   0        524 K
csrss.exe                      700 Services                   0      3,144 K
wininit.exe                    788 Services                   0      2,496 K
csrss.exe                      796 Console                    1     13,612 K
services.exe                   860 Services                   0      8,416 K
lsass.exe                      900 Services                   0     19,028 K
winlogon.exe                   912 Console                    1      5,988 K
svchost.exe                    580 Services                   0      1,364 K
svchost.exe                    724 Services                   0     29,056 K
fontdrvhost.exe                612 Services                   0      1,524 K
svchost.exe                   1052 Services                   0     18,440 K
svchost.exe                   1100 Services                   0      5,012 K
WUDFHost.exe                  1156 Services                   0      4,856 K
fontdrvhost.exe               1220 Console                    1      7,236 K
svchost.exe                   1304 Services                   0      4,660 K
svchost.exe                   1312 Services                   0      7,020 K
svchost.exe                   1336 Services                   0      7,084 K
dwm.exe                       1356 Console                    1    170,132 K
svchost.exe                   1560 Services                   0      6,392 K
svchost.exe                   1572 Services                   0      5,824 K
WUDFHost.exe                  1664 Services                   0      8,216 K
svchost.exe                   1676 Services                   0     11,256 K
IntelCpHDCPSvc.exe            1760 Services                   0      2,688 K
svchost.exe                   1768 Services                   0      5,240 K
svchost.exe                   1816 Services                   0      6,108 K
svchost.exe                   1824 Services                   0      2,696 K
svchost.exe                   1836 Services                   0      4,676 K
svchost.exe                   1908 Services                   0      4,280 K
svchost.exe                   1944 Services                   0     14,196 K
svchost.exe                   1008 Services                   0      4,144 K
svchost.exe                   1464 Services                   0      2,788 K
svchost.exe                   2064 Services                   0      6,552 K
svchost.exe                   2120 Services                   0      7,056 K
IntelCpHeciSvc.exe            2192 Services                   0      3,016 K
svchost.exe                   2312 Services                   0      9,844 K
svchost.exe                   2332 Services                   0      4,592 K
igfxCUIService.exe            2340 Services                   0      4,040 K
svchost.exe                   2420 Services                   0      4,912 K
svchost.exe                   2616 Services                   0      2,476 K
svchost.exe                   2648 Services                   0     10,336 K
svchost.exe                   2796 Services                   0      8,072 K
svchost.exe                   2860 Services                   0      7,648 K
LITSSvc.exe                   2872 Services                   0      2,784 K
ibmpmsvc.exe                  2896 Services                   0      3,320 K
svchost.exe                   3004 Services                   0     19,528 K
SynTPEnhService.exe           1984 Services                   0      4,004 K
svchost.exe                   3212 Services                   0      9,732 K
dasHost.exe                   3248 Services                   0     16,900 K
WUDFHost.exe                  3348 Services                   0     10,732 K
svchost.exe                   3492 Services                   0      8,652 K
svchost.exe                   3500 Services                   0      4,684 K
WUDFHost.exe                  3640 Services                   0      3,004 K
svchost.exe                   3752 Services                   0      5,872 K
svchost.exe                   3912 Services                   0     22,796 K
svchost.exe                   3988 Services                   0      6,876 K
svchost.exe                   3996 Services                   0      2,340 K
svchost.exe                   4040 Services                   0      5,804 K
Memory Compression            4072 Services                   0    347,496 K
svchost.exe                   3160 Services                   0     11,988 K
svchost.exe                   4164 Services                   0      7,380 K
svchost.exe                   4172 Services                   0      6,356 K
svchost.exe                   4180 Services                   0      3,760 K
svchost.exe                   4332 Services                   0      4,664 K
svchost.exe                   4436 Services                   0     12,476 K
svchost.exe                   4476 Services                   0      5,172 K
svchost.exe                   4524 Services                   0      8,780 K
spoolsv.exe                   4588 Services                   0      6,508 K
svchost.exe                   4632 Services                   0      5,220 K
svchost.exe                   4712 Services                   0     15,352 K
svchost.exe                   4812 Services                   0      3,524 K
wlanext.exe                   4848 Services                   0     10,296 K
conhost.exe                   4860 Services                   0      1,952 K
svchost.exe                   4956 Services                   0      5,372 K
svchost.exe                   4988 Services                   0      4,748 K
FMService64.exe               4856 Services                   0      4,316 K
svchost.exe                   5112 Services                   0     31,116 K
svchost.exe                   5044 Services                   0     30,928 K
DbxSvc.exe                    5128 Services                   0      1,924 K
DAX3API.exe                   5140 Services                   0      7,348 K
EvtEng.exe                    5148 Services                   0      7,516 K
Lenovo.Modern.ImControlle     5160 Services                   0     40,748 K
ApsInsSvc.exe                 5172 Services                   0      2,512 K
svchost.exe                   5188 Services                   0     13,588 K
